"year"	"streamflow"	"station"	"nino"	"ivar"
1965	0.551527447089947	1	1.63181500906934	1
1966	0.361340468559219	1	-0.285327393332258	1
1967	0.218978123728124	1	-0.563622258197004	1
1968	0.0371683964183964	1	0.38464172578658	1
1969	0.123748613654864	1	0.700729723883511	1
1970	0.0520222705535205	1	-0.938117813653332	1
1971	0.326919315843621	1	-0.962167994031641	1
1972	0.687990778897029	1	1.81047343739862	1
1973	2.26877692562067	1	-1.86576736320249	1
1974	1.43292175417175	1	-0.71479478081853	1
1975	0.585488006206756	1	-1.56685806390332	1
1976	1.49784652269027	1	0.803801896055641	1
1977	0.0380669006919006	1	0.724779893954602	1
1978	1.06912713675214	1	-0.329991997837774	1
1979	0.255453347578347	1	0.432742076235979	1
1980	0.323963878713879	1	-0.0173397456847221	1
1981	0.0671000457875458	1	-0.106668965002972	1
1982	0.139224028286528	1	2.05784665061172	1
1983	2.61261549908425	1	-0.81786695299066	1
1984	3.30815287952788	1	-0.55331504097979	1
1985	0.144192511192511	1	-0.333427743781654	1
1986	0.199675758744856	1	1.00651049445601	1
1987	0.0369097095034595	1	1.55966448854885	1
1988	0.0820766687016687	1	-1.49814328932671	1
1989	1.49474056267806	1	-0.192562438377342	1
1990	0.181100408343737	1	0.388077461423245	1
1991	0.000149318274318274	1	1.05461084490541	1
1992	0.268066595441595	1	-0.0207754813213876	1
1993	0.0511546347171347	1	0.343412856917729	1
1994	0.0446248728123728	1	1.00651049445601	1
1995	0.0198842978395062	1	-0.766330866904595	1
1996	0.0218488297325103	1	-0.247534260100069	1
1997	0.0398231201668702	1	2.57664325741625	1
1998	0.764367508648759	1	-1.2370271129525	1
1999	0.481956501831502	1	-1.14082642236092	1
2000	0.293751971408221	1	-0.484600256095965	1
2001	0.450776594650206	1	-0.0448256616996964	1
2002	0.0391959071021571	1	1.50812840246278	1
2003	0.0297262731481482	1	0.556428682842531	1
2004	0.46404608007733	1	0.954974408369953	1
2005	0.136564662189662	1	-0.0379541801191474	1
2006	1.06738683127572e-05	1	0.985896060021589	1
2008	0.053551350308642	1	-0.158205051089037	1
2009	0.00246171652421652	1	1.24014075481524	1
2010	1.34287226546602	1	-1.49127180774616	1
2011	0.295470645095645	1	-0.838481387425085	1
2012	0.363873346560847	1	0.477406680741495	1
2013	0.0984342948717949	1	0.0238891231841284	1
2014	0.0640154787342287	1	0.714472676737391	1
1966	0.100855298636549	2	-0.285327393332258	1
1967	0.198825027981278	2	-0.563622258197004	1
1968	0.0422269663207163	2	0.38464172578658	1
1969	2.92869543650793	2	0.700729723883511	1
1970	0.0592746235246236	2	-0.938117813653332	1
1971	0.04214535002035	2	-0.962167994031641	1
1972	0.742896291208791	2	1.81047343739862	1
1973	0.146252849002849	2	-1.86576736320249	1
1974	4.27085987739113	2	-0.71479478081853	1
1975	0.0835199811762311	2	-1.56685806390332	1
1976	0.642009907916158	2	0.803801896055641	1
1977	1.00123661986162	2	0.724779893954602	1
1978	1.15401915445665	2	-0.329991997837774	1
1979	0.0608285256410256	2	0.432742076235979	1
1980	0.00407196275946276	2	-0.0173397456847221	1
1981	0.385942345848596	2	-0.106668965002972	1
1982	0.0173282585470085	2	2.05784665061172	1
1983	0.206797199328449	2	-0.81786695299066	1
1984	0.195271189458689	2	-0.55331504097979	1
1985	0.0660788817663818	2	-0.333427743781654	1
1986	0.134164046601547	2	1.00651049445601	1
1987	0.145047097578348	2	1.55966448854885	1
1988	0.0328376831501832	2	-1.49814328932671	1
1989	0.194971815221815	2	-0.192562438377342	1
1990	0.0652286265432098	2	0.388077461423245	1
1991	0.0498835215710216	2	1.05461084490541	1
1992	0.213723354192104	2	-0.0207754813213876	1
1993	0.790463395400895	2	0.343412856917729	1
1994	0.00589938186813186	2	1.00651049445601	1
