For more information see http://www.bom.gov.au/water/hrs/

"ID_BoM" "lon" "lat" "area"
"136202D" 152.04378 -26.30122 646.6
"137201A" 152.36875 -25.26625 449.3
"143009A" 152.40875 -26.99639 3875.5
"143303A" 152.8403 -26.83875 101.7
"145010A" 152.89125 -28.24625 129
"145011A" 152.57125 -28.14799 85.1
"145018A" 152.60839 -28.21911 82.4
"145101D" 153.04547 -28.05297 165.9
"145107A" 153.15875 -27.99625 102.3
"146012A" 153.42301 -28.17875 29
"146095A" 153.40375 -28.14922 55.8
"204034" 152.214 -29.7635 398.9
"206014" 152.02886 -30.47636 377.4
"206018" 151.76625 -31.05125 851.9
"208007" 151.71625 -31.51625 221.1
"208009" 151.31495 -31.57995 152.1
"418005" 151.11432 -29.91682 249.3
"418014" 151.36244 -30.46744 834.6
"419005" 150.7785 -30.6785 2532.4
"422321B" 152.33307 -28.35375 31.6
"422394A" 152.14136 -28.37136 328.4
